kind,depth,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp,ps_budget,ps_population,avoid_ancestors,metrics
naive,5,SAT_M,PSO,10000,18.71309562466685,3.073209950719824,0.6430281330883736,0.6430520466077666,,,,,
naive,2,SAT_L,GA,10000,76.52266516692168,6.339707905611207,0.42677024159478827,0.42698971574543554,,,,,
naive,3,SAT_L,GA,10000,56.659043048463126,4.919370337770596,0.5755682386742,0.5756658750335717,,,,,
naive,4,SAT_L,GA,10000,43.4998150213291,4.403579704907847,0.6741437533447716,0.674195747741216,,,,,
naive,5,SAT_L,GA,10000,36.94714924145033,3.736853249542975,0.7232296419990221,0.7233305399784433,,,,,
naive,2,SAT_L,uniform,10000,44.98948487040724,5.355914012989252,0.057730291844842685,0.05773029190058443,,,,,
naive,3,SAT_L,uniform,10000,44.23810005816107,5.305987515349756,0.07346746131426052,0.07347710859511525,,,,,
naive,4,SAT_L,uniform,10000,43.50159880249328,5.262292501558934,0.08889290628730329,0.08891801089061768,,,,,
naive,5,SAT_L,uniform,10000,43.21995273698522,5.246498574825869,0.09479176369173381,0.09487506365260356,,,,,
naive,2,SAT_L,SA,10000,85.97125475823546,7.3119779137513214,0.39751107964985444,0.39843972285897433,,,,,
naive,3,SAT_L,SA,10000,57.67056241982818,5.94003345767801,0.5958431107465074,0.5958524342870354,,,,,
naive,4,SAT_L,SA,10000,38.35419645080555,4.788855282707403,0.7312127352854573,0.7315070635891524,,,,,
naive,5,SAT_L,SA,10000,25.205418304928624,3.885067503750743,0.8233597345506286,0.8239345577013567,,,,,
naive,2,SAT_L,Tabu,10000,19.80354893940698,3.575916948597637,0.05452535082248333,0.0546525885318454,,,,,
naive,3,SAT_L,Tabu,10000,18.414568851493303,3.4736315003086973,0.1208389931576469,0.12089331790849034,,,,,
naive,4,SAT_L,Tabu,10000,17.06762442370513,3.318208530084022,0.18514574010594254,0.1851679016510165,,,,,
naive,5,SAT_L,Tabu,10000,15.08492180070093,3.1051542708837423,0.2798052919187992,0.2798645833844462,,,,,
naive,2,SAT_L,PSO,10000,76.52266516692168,6.339707905611207,0.42677024159478827,0.42698971574543554,,,,,
naive,3,SAT_L,PSO,10000,56.659043048463126,4.919370337770596,0.5755682386742,0.5756658750335717,,,,,
naive,4,SAT_L,PSO,10000,43.4998150213291,4.403579704907847,0.6741437533447716,0.674195747741216,,,,,
naive,5,SAT_L,PSO,10000,36.94714924145033,3.736853249542975,0.7232296419990221,0.7233305399784433,,,,,
naive,2,GC_S,GA,10000,641.9838775437191,17.928776006385302,0.660658844990125,0.6610039400034972,,,,,
naive,3,GC_S,GA,10000,426.11687616903504,14.85549562756883,0.7747622674238372,0.7748106261690754,,,,,
naive,4,GC_S,GA,10000,327.32263321024686,11.979818379921827,0.8269831310415194,0.8269833934579321,,,,,
naive,5,GC_S,GA,10000,268.43065364319517,10.444013844746719,0.858112374416857,0.8581267682362599,,,,,
naive,2,GC_S,uniform,10000,446.73949002539956,16.635731752455655,-0.005018045544119554,-0.004590786029395666,,,,,
naive,3,GC_S,uniform,10000,446.14499176465847,16.625415791235156,-0.0036806184900317618,-0.003224954772853117,,,,,
naive,4,GC_S,uniform,10000,448.36749702017414,16.645633583780484,-0.008680529932789671,-0.008339132627813495,,,,,
